"";"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"threat.status.mma";"life.form";"habitat";"vegetation.type";"vernacular.name";"occurrence";"establishment";"domain";"endemism"
"281";17158;"Cyperus lanceolatus Poir.";NA;"Cyperaceae";"species";"accepted";"Cyperus lanceolatus";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Varzea|Campo Limpo|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Vegetacao Aquatica";NA;"BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"282";49763;"Cyperus niger Ruiz & Pav.";NA;"Cyperaceae";"species";"accepted";"Cyperus niger";NA;NA;"Erva";"Terricola";NA;NA;NA;NA;NA;NA
"299";17239;"Rhynchospora emaciata (Nees) Boeckeler";NA;"Cyperaceae";"species";"accepted";"Rhynchospora emaciata";NA;NA;"Erva";"Terricola";"Area Antropica|Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Restinga|Savana Amazonica|Vegetacao Aquatica";NA;"BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"300";622467;"Rhynchospora flexuosa C.B. Clarke";NA;"Cyperaceae";"species";"accepted";"Rhynchospora flexuosa";NA;NA;"Erva";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-BA|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
"152";5411;"Mikania orleansensis Hieron.";NA;"Asteraceae";"species";"accepted";"Mikania orleansensis";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"153";27299;"Mutisia campanulata Less.";NA;"Asteraceae";"species";"accepted";"Mutisia campanulata";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";"Cravo-divino-alado/PORTUGUES/Sul e Sudeste";"BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"245";109235;"Arenaria lanuginosa (Michx.) Rohrb.";NA;"Caryophyllaceae";"species";"accepted";"Arenaria lanuginosa";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"naturalized";"Mata Atlantica|Pampa";"Nao endemica"
"246";6696;"Cerastium commersonianum Ser.";NA;"Caryophyllaceae";"species";"accepted";"Cerastium commersonianum";NA;NA;"Erva";"Terricola";NA;NA;"BR-PR|BR-RJ|BR-RS|BR-SC";"naturalized";"Mata Atlantica|Pampa";"Nao endemica"
"247";6697;"Cerastium dicrotrichum Fenzl ex Rohrb.";NA;"Caryophyllaceae";"species";"accepted";"Cerastium dicrotrichum";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo rupestre|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC";"naturalized";"Mata Atlantica|Pampa";"Nao endemica"
"266";17128;"Bulbostylis juncoides (Vahl) Kük. ex Osten";NA;"Cyperaceae";"species";"accepted";"Bulbostylis juncoides";NA;NA;"Erva";"Terricola";"Area Antropica|Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombrofila Mista|Restinga|Savana Amazonica";NA;"BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"267";130218;"Carex albolutescens Schwein.";NA;"Cyperaceae";"species";NA;"Carex albolutescens";NA;NA;"Erva";"Terricola";NA;NA;NA;NA;NA;NA
"393";7999;"Hypericum connatum Lam.";NA;"Hypericaceae";"species";"accepted";"Hypericum connatum";NA;NA;"Subarbusto";"Rupicola|Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos";"Orelha de Gato/PORTUGUES/Sul do Brasil | Espetinho/PORTUGUES/Sul do Brasil";"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"394";8008;"Hypericum rigidum A.St.-Hil.";NA;"Hypericaceae";"species";"accepted";"Hypericum rigidum";"LC";NA;"Arbusto|Subarbusto";"Aquatica|Terricola";"Campo de Altitude|Vegetacao Aquatica";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"331";35713;"Chiropetalum molle (Mull. Arg.) Pax & K. Hoffm.";NA;"Euphorbiaceae";"species";"accepted";"Chiropetalum molle";NA;NA;"Subarbusto";"Terricola";"Floresta Ciliar ou Galeria|Floresta Ombrofila Mista";NA;"BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Endemica"
"447";8623;"Blumenbachia catharinensis Urb. & Gilg";NA;"Loasaceae";"species";"accepted";"Blumenbachia catharinensis";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"448";8749;"Cuphea glutinosa Cham. & Schltdl.";NA;"Lythraceae";"species";"accepted";"Cuphea glutinosa";"LC";NA;"Subarbusto";"Terricola";"Area Antropica|Campo Limpo|Cerrado (lato sensu)";NA;"BR-BA|BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"154";104874;"Mutisia speciosa Aiton ex Hook.";NA;"Asteraceae";"species";"accepted";"Mutisia speciosa";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";"coracao-de-jesus/PORTUGUES/Sudeste | Cravo-divino, cravo-divino-formoso/PORTUGUES/Sul";"BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"120";103563;"Neocabreria catharinensis (Cabrera) R.M.King & H.Rob.";NA;"Asteraceae";"species";"accepted";"Neocabreria catharinensis";NA;NA;"Arbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"310";7444;"Crinodendron brasiliense Reitz & L.B.Sm.";NA;"Elaeocarpaceae";"species";"accepted";"Crinodendron brasiliense";NA;NA;"Arbusto";"Terricola";"Campo de Altitude";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"350";83066;"Desmodium uncinatum (Jacq.) DC.";NA;"Fabaceae";"species";"accepted";"Desmodium uncinatum";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"97";5270;"Chaptalia cordifolia (Baker) Cabrera";NA;"Asteraceae";"species";"accepted";"Chaptalia cordifolia";"VU";"VU";"Erva";"Terricola";"Floresta Ombrofila Mista";"Lingua-de-vaca/PORTUGUES/Sul";"BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
